#,Práctica,Aplicable a,Importancia,Dificultad de Deducción,Comentarios,Importancia Valor,Dificultad Valor,Aplicable Valor,Promedio Importancia,Promedio Dificultad,Promedio Aplicable,Extremadamente importante,Importante,Muy importante,Nada importante,Poco importante,importante,Difícil de deducir,Fácil de deducir,Moderadamente deducible,Ambos,Avanzados,Iniciales
13,"Consumir incrementalmente la editorial de un problema, leer la primera oración de la explicación y luego pensar 5 minutos, continuar avanzando oración por oración, párrafo por párrafo, intentando deducir la solución por cuenta propia a partir de algún punto.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.6666666666666665,2.3333333333333335,1.6666666666666667,1,4,4,0,0,0,4,1,4,6,3,0
14,"Si después de leer un par de veces la editorial de un problema aún no se consigue entender la solución, copiarla a mano en una hoja de papel y leer un par de veces más.",Avanzados,Importante,Difícil de deducir,,2.0,3.0,2.0,1.4444444444444444,2.5555555555555554,1.4444444444444444,0,5,0,1,3,0,6,1,2,6,1,2
15,"Si después de leer un par de veces la editorial de un problema aún no se consigue entender la solución, leer códigos aceptados disponibles de varios competidores.",Ambos,Muy importante,Moderadamente deducible,,3.0,2.0,1.5,2.2222222222222223,2.111111111111111,1.5,0,5,3,0,1,0,2,1,6,9,0,0
16,"Si después de intentar comprender la solución de un problema de múltiples maneras y tras varias horas de esfuerzo aún no se entiende, archivarlo e intentarlo en otra ocasión.",Ambos,Poco importante,Fácil de deducir,,1.0,1.0,1.5,1.6666666666666667,2.2222222222222223,1.5,0,7,0,1,1,0,4,2,3,7,1,1
17,Leer códigos de algoritmos de distintas fuentes referenciales.,Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,3.0,1.8888888888888888,1.5555555555555556,3,1,4,0,1,0,1,2,6,8,1,0
18,"Para consolidar el dominio de una técnica o algoritmo, revisarlo en detalle, anotar los puntos importantes y enseñarlo a competidores de menor nivel o que no estén familiarizados con esa técnica o algoritmo.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.4444444444444446,1.8888888888888888,1.6666666666666667,1,4,3,0,1,0,1,2,6,6,3,0
19,Desarrollar amistad entre los integrantes del equipo.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.888888888888889,1.5555555555555556,1.5,2,3,4,0,0,0,1,5,3,9,0,0
20,Desarrollar comunicación efectiva entre los integrantes del equipo.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.5555555555555554,1.6666666666666667,1.5555555555555556,6,1,2,0,0,0,1,4,4,8,1,0
21,Conocer las fortalezas y debilidades de cada miembro del equipo.,Avanzados,Importante,Fácil de deducir,,2.0,1.0,2.0,3.2222222222222223,2.111111111111111,1.7777777777777777,5,3,1,0,0,0,3,2,4,4,5,0
22,Entre compañeros de equipo desarrollar estilos de programación similares.,Avanzados,Poco importante,Moderadamente deducible,,1.0,2.0,2.0,2.4444444444444446,2.0,1.7222222222222223,0,3,5,0,1,0,1,1,7,5,4,0
23,Participar en la mayor cantidad de competencias que se pueda.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.6666666666666665,1.7777777777777777,1.5555555555555556,3,2,2,0,2,0,2,4,3,8,1,0
24,Participar en campamentos de programación.,Ambos,Poco importante,Fácil de deducir,,1.0,1.0,1.5,2.7777777777777777,1.5555555555555556,1.6111111111111112,3,3,2,0,1,0,1,5,3,7,2,0
25,Realizar sesiones de entrenamiento entre varios equipos.,Ambos,Poco importante,Fácil de deducir,,1.0,1.0,1.5,1.5555555555555556,1.7777777777777777,1.4444444444444444,0,5,0,0,4,0,1,3,5,6,1,2
26,Entrenar con competencias/problemas que cuenten con editorial y acceso a códigos aceptados para su posterior lectura.,Ambos,Poco importante,Fácil de deducir,,1.0,1.0,1.5,2.5555555555555554,1.5555555555555556,1.3888888888888888,2,4,2,0,1,0,0,4,5,7,0,2
27,"Para mejorar la dinámica de resolución de problemas en equipo, seleccionar problemas difíciles y resolverlos en grupos de 2 o 3 personas, practicando el pensamiento en voz alta, el intercambio de ideas, la creatividad, la discusión productiva, y la refutación de ideas erróneas.",Ambos,Importante,Moderadamente deducible,,2.0,2.0,1.5,2.6666666666666665,2.111111111111111,1.7222222222222223,3,4,1,0,1,0,2,1,6,5,4,0
28,"Dividir los temas básicos entre los miembros del equipo, comprometiéndose a aprenderlos individualmente para conseguir un mayor alcance colectivo.",Iniciales,Importante,Moderadamente deducible,,2.0,2.0,1.0,2.4444444444444446,2.111111111111111,1.4444444444444444,2,2,3,1,1,0,3,2,4,2,3,4
29,Asegurar que con el tiempo cada miembro del equipo domine todos los temas básicos y luego continúe especializándose en temas más avanzados.,Avanzados,Importante,Moderadamente deducible,,2.0,2.0,2.0,3.2222222222222223,2.0,1.6666666666666667,5,3,1,0,0,0,1,1,7,4,4,1
30,"En el equipo contar con al menos 2 expertos en cada área, para evitar una sobrecarga de trabajo y tener el respaldo necesario en momentos críticos.",Avanzados,Importante,Difícil de deducir,,2.0,3.0,2.0,2.5555555555555554,2.888888888888889,1.9444444444444444,0,4,5,0,0,0,8,0,1,1,8,0
31,"Mantener un listado con conceptos, fórmulas, constantes y teoremas para consultas rápidas.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.6666666666666665,1.4444444444444444,1.6666666666666667,0,3,6,0,0,0,0,5,4,6,3,0
32,"Mantener un listado con hechos relevantes, recordatorios, errores comunes a evitar, buenas prácticas y estrategias.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.111111111111111,1.7777777777777777,1.6111111111111112,1,5,1,0,2,0,1,3,5,5,3,1
33,Mantener el team notebook con implementaciones cortas y rápidas de algoritmos clásicos o códigos difíciles de memorizar.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.111111111111111,1.4444444444444444,1.6666666666666667,4,3,2,0,0,0,0,5,4,6,3,0
34,"En el team notebook, es aceptable incluir algoritmos a modo de caja negra, conociendo solo su propósito y su complejidad espacio-temporal.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.6666666666666665,1.4444444444444444,1.3888888888888888,3,2,2,0,2,0,0,5,4,5,1,3
35,Priorizar la calidad antes que la cantidad al agregar contenido al team notebook.,Ambos,Poco importante,Fácil de deducir,,1.0,1.0,1.5,2.4444444444444446,2.0,1.5555555555555556,2,3,2,0,2,0,2,2,5,6,2,1
36,Llevar un diccionario de bolsillo Inglés-Español a las competencias,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.2222222222222223,1.4444444444444444,1.2222222222222223,1,3,3,1,1,0,1,6,2,4,0,5
37,"Establecer de antemano un orden fijo y la porción de problemas que cada integrante del equipo leerá, mantener ese plan en todas las ocasiones.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.7777777777777777,1.5555555555555556,1.6666666666666667,3,1,3,0,2,0,0,4,5,6,3,0
38,"Designar como líder de equipo a la persona con mayor experiencia y criterio, quien tomará las decisiones finales con el respaldo del equipo.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.3333333333333335,1.8888888888888888,1.7222222222222223,2,3,2,1,1,0,2,3,4,5,4,0
39,Simular competencias oficiales en equipo procurando replicar las condiciones de competencias oficiales.,Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,3.4444444444444446,1.7777777777777777,1.7222222222222223,5,1,3,0,0,0,1,3,5,5,4,0
40,"Tener entrenamientos largos (5 horas), para incrementar la resistencia.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,3.0,2.2222222222222223,1.6111111111111112,3,1,4,0,1,0,4,2,3,5,3,1
41,"Evitar entrenamientos cortos (menores 5 horas), pero realizarlos si es que la alternativa sería no entrenar.",Ambos,Poco importante,Fácil de deducir,,1.0,1.0,1.5,1.4444444444444444,2.0,1.3888888888888888,0,3,1,1,4,0,3,3,3,5,1,3
42,"Probar diferentes estrategias, afinarlas y ajustarlas según cómo responda el equipo.",Avanzados,Muy importante,Moderadamente deducible,,3.0,2.0,2.0,2.888888888888889,2.0,1.7222222222222223,2,3,4,0,0,0,1,1,7,5,4,0
43,Hacer la prueba con programación en pares.,Avanzados,Importante,Moderadamente deducible,,2.0,2.0,2.0,1.8888888888888888,1.8888888888888888,1.4444444444444444,0,6,1,0,2,0,2,3,4,4,2,3
44,"Realizar prácticas de lectura de problemas en equipo al simular competencias: al inicio leer todos los problemas sin resolver ninguno, discutir las dificultades de cada uno, comparar las predicciones con el scoreboard y luego continuar con la simulación.",Avanzados,Importante,Difícil de deducir,,2.0,3.0,2.0,1.7777777777777777,2.5555555555555554,1.6111111111111112,0,4,2,1,2,0,6,1,2,1,5,3
45,"En simulaciones, registrar el estado de la competencia cada 30 minutos (para competencias de 5 horas) para tener conciencia del comportamiento del equipo. Este registro debe incluir la cantidad de problemas leídos, resueltos e intentados, junto con un resumen de lo sucedido en los últimos 30 minutos.",Avanzados,Poco importante,Difícil de deducir,,1.0,3.0,2.0,1.7777777777777777,2.4444444444444446,1.8888888888888888,0,4,2,1,2,0,4,0,5,2,7,0
46,"Durante simulaciones de competencias, copiar los algoritmos del team notebook a mano, tal como se hace en competencias oficiales.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.75,2.125,1.4375,0,2,6,0,0,0,4,3,1,5,1,2
47,Al inicio de la competencia identificar el problema fácil e iniciar su resolución lo más antes posible.,Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,3.4444444444444446,1.2222222222222223,1.4444444444444444,5,1,3,0,0,0,0,7,2,8,0,1
48,"Durante competencias y simulaciones mantener una hoja con una tabla donde cada problema tenga su sección, anotando el tema, la dificultad o un resumen breve; tachar los problemas resueltos.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.4444444444444446,2.0,1.5,3,1,2,1,2,0,2,2,5,7,1,1
49,"Durante la primera hora de competencia leer todos los problemas e identificar los fáciles, medios y difíciles.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.3333333333333335,1.8888888888888888,1.5555555555555556,1,3,3,0,2,0,2,3,4,8,1,0
50,"Al decidir qué problema resolver a continuación, consultar el scoreboard para guiarse por los problemas mas resueltos, ya que suelen ser los más accesibles.",Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,3.111111111111111,1.2222222222222223,1.3888888888888888,3,2,4,0,0,0,0,7,2,7,0,2
51,Priorizar el trabajo individual mientras se resuelven problemas fáciles.,Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,2.7777777777777777,1.5555555555555556,1.5555555555555556,1,3,5,0,0,0,0,4,5,6,2,1
52,Cada miembro del equipo debe estar consciente del estado de la competencia en todo momento.,Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,2.5555555555555554,1.6666666666666667,1.5,3,4,1,1,0,0,0,3,6,9,0,0
53,En las primeras horas de competencia procurar resolver los problemas fáciles y trabajar en los problemas medios.,Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.6666666666666665,1.3333333333333333,1.5555555555555556,0,3,6,0,0,0,0,6,3,6,2,1
54,"Una vez resueltos los problemas fáciles, asegurarse de tener claro de qué tratan los problemas disponibles antes de decidir qué problema resolver a continuación.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.3333333333333335,1.8888888888888888,1.5555555555555556,3,0,6,0,0,0,1,2,6,6,2,1
55,Entre la segunda y cuarta hora de competencia identificar qué problemas difíciles se intentarán resolver.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.111111111111111,2.3333333333333335,1.8333333333333333,3,2,4,0,0,0,4,1,4,3,6,0
56,"Abordar los problemas difíciles desde más temprano si se estima que de esta forma se resolverá una mayor cantidad de problemas, estando conscientes de que eso conlleva el riesgo de una mayor penalidad por tiempo.",Avanzados,Muy importante,Fácil de deducir,,3.0,1.0,2.0,2.0,2.3333333333333335,1.9444444444444444,0,2,4,1,2,0,5,2,2,1,8,0
57,"Si se decide trabajar en un problema difícil, empezar lo más antes posible.",Avanzados,Importante,Fácil de deducir,,2.0,1.0,2.0,2.3333333333333335,2.111111111111111,1.9444444444444444,0,4,4,0,1,0,3,2,4,1,8,0
58,Procurar resolver los problemas difíciles en equipo.,Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.7777777777777777,1.6666666666666667,1.5555555555555556,3,3,2,0,1,0,0,3,6,6,2,1
59,"En la última hora y media de competencia, incrementar la prioridad al uso de la computadora para la depuración de errores.",Avanzados,Importante,Fácil de deducir,,2.0,1.0,2.0,2.4444444444444446,1.7777777777777777,1.6666666666666667,3,4,0,0,2,0,1,3,5,6,3,0
60,"Al iniciar la última hora de competencia, analizar la situación del equipo en la competencia y decidir en qué problemas se trabajará.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.7777777777777777,2.0,1.6666666666666667,7,0,2,0,0,0,2,2,5,6,3,0
61,"En la última media hora de competencia, concentrarse únicamente en un problema los tres integrantes del equipo al mismo tiempo.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.5555555555555554,2.2222222222222223,1.5,5,0,4,0,0,0,4,2,3,5,2,2
62,"Durante la competencia, actuar objetivamente, enfocándose en resolver la mayor cantidad de problemas con la menor penalización posible.",Avanzados,Extremadamente importante,Fácil de deducir,,4.0,1.0,2.0,3.4444444444444446,1.6666666666666667,1.7777777777777777,5,1,3,0,0,0,1,4,4,4,5,0
63,"Durante la competencia, procurar actuar de tal forma que se minimicen los errores.",Avanzados,Extremadamente importante,Fácil de deducir,,4.0,1.0,2.0,3.2222222222222223,1.6666666666666667,1.7777777777777777,4,2,3,0,0,0,2,5,2,4,5,0
64,Evitar peleas y tonos defensivos entre compañeros de equipo.,Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,4.0,1.4444444444444444,1.5,9,0,0,0,0,0,1,6,2,9,0,0
65,No perder los estribos durante la competencia y siempre tratar de dar lo mejor de uno mismo.,Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,3.5555555555555554,1.7777777777777777,1.5,6,1,2,0,0,0,2,4,3,9,0,0
66,"Ya que no se tiene información perfecta, tomar riesgos.",Ambos,Extremadamente importante,Moderadamente deducible,,4.0,2.0,1.5,2.6666666666666665,2.0,1.6666666666666667,2,3,3,0,1,0,2,2,5,4,4,1
67,"Al inicio de la competencia, echar un vistazo a los enunciados de los problemas para elegir cual leer primero basándose en intuición y simplicidad del enunciado.",Avanzados,Muy importante,Fácil de deducir,,3.0,1.0,2.0,2.888888888888889,1.8888888888888888,1.7222222222222223,2,3,4,0,0,0,1,2,6,5,4,0
68,"Al inicio de la competencia, hacer lecturas rápidas de los problemas con el objetivo inicial de identificar los más fáciles.",Avanzados,Muy importante,Fácil de deducir,,3.0,1.0,2.0,3.0,1.5555555555555556,1.6666666666666667,3,1,4,0,1,0,1,5,3,6,3,0
69,"Al leer un problema, identificar si los primeros párrafos son una historia no relacionada a lo que te pide el problema para saltarse esa parte.",Ambos,Extremadamente importante,Moderadamente deducible,,4.0,2.0,1.5,2.3333333333333335,2.5555555555555554,1.6666666666666667,3,1,1,0,4,0,5,0,4,6,3,0
70,"Al leer un problema, prestar atención a cada vez que aparece algún número o variable.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.5555555555555554,1.5555555555555556,1.5,2,4,2,0,1,0,0,4,5,9,0,0
71,"Al leer un problema, prestar atención a definiciones o descripciones de procedimientos, estos suelen estar listados.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.75,1.6666666666666667,1.5,2,4,2,0,0,1,0,3,6,9,0,0
72,"Al leer un problema, prestar atención a las últimas oraciones del enunciado, ahí suelen resumir en pocas palabras qué es lo que pide el problema.",Ambos,Extremadamente importante,Moderadamente deducible,,4.0,2.0,1.5,2.5555555555555554,2.111111111111111,1.6111111111111112,3,3,1,0,2,0,2,1,6,7,2,0
73,"Al leer un problema, prestar atención a los límites establecidos en la descripción del input, esto suele dar pistas acerca de qué técnicas o algoritmos se pueden aplicar para la resolución del problema.",Ambos,Extremadamente importante,Moderadamente deducible,,4.0,2.0,1.5,3.4444444444444446,2.0,1.6111111111111112,5,1,3,0,0,0,0,0,9,7,2,0
74,"Al leer un problema, prestar atención a la descripción del output, esto suele describir en pocas palabras lo que pide el problema.",Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,2.7777777777777777,2.2222222222222223,1.6111111111111112,3,3,2,0,1,0,5,3,1,5,3,1
75,"Al leer un problema, tener en cuenta que si algo no está escrito en el enunciado, no significa que sea falso, y si algo no está escrito en el enunciado, no significa que sea verdadero.",Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,2.888888888888889,2.3333333333333335,1.6111111111111112,4,1,2,0,2,0,5,2,2,7,2,0
76,Leer detalladamente un problema si no se cuenta con la suficiente confianza o experiencia para determinar que se lo ha entendido en la primera leída.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.4444444444444446,2.0,1.4444444444444444,1,3,4,1,0,0,2,2,5,8,0,1
77,"Al leer detalladamente un problema, formular preguntas después de leer cada oración, por ejemplo: ¿Esto qué significa realmente? ¿Esto puede dar origen a algún caso especial? ¿Será que este detalle sea crucial para hallar la solución al problema? ¿Es esta información útil?",Avanzados,Poco importante,Moderadamente deducible,,1.0,2.0,2.0,2.7777777777777777,2.0,1.5,3,3,2,0,1,0,1,1,7,5,2,2
78,"Leer detalladamente un problema si es que no surgen ideas para abordar la solución, con el proposito de encontrar nuevos detalles",Ambos,Muy importante,Moderadamente deducible,,3.0,2.0,1.5,2.7777777777777777,1.8888888888888888,1.5555555555555556,2,4,3,0,0,0,1,2,6,6,2,1
79,Leer detalladamente un problema si es que no se ha conseguido un veredicto aceptado al enviarlo.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.3333333333333335,1.7777777777777777,1.5555555555555556,4,1,4,0,0,0,2,4,3,8,1,0
80,Hacer una lluvia de ideas de algoritmos posibles que puedan resolver el problema y elegir el más fácil de modelar y codificar que funcione.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.2222222222222223,1.7777777777777777,1.6666666666666667,1,4,2,0,2,0,1,3,5,4,4,1
81,"Utilizar modelado matemático, transformación del problema o proposición de conjeturas con el fin de simplificar la solución del problema o el diseño del algoritmo. ",Ambos,Extremadamente importante,Moderadamente deducible,,4.0,2.0,1.5,2.5555555555555554,2.5555555555555554,1.8888888888888888,2,6,1,0,0,0,5,0,4,2,7,0
82,"Cuando el problema requiera de cálculos matemáticos, anotar con claridad en papel las fórmulas simplificadas, listas para copiarlas directamente en el código.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.0,1.8888888888888888,1.6111111111111112,1,1,7,0,0,0,1,2,6,7,2,0
83,"Para abordar un problema desafiante, proceder con calma, seleccionar los detalles relevantes y usarlos para deducir nuevos aspectos, formando así una cadena de implicaciones que lleve a la solución.",Avanzados,Muy importante,Fácil de deducir,,3.0,1.0,2.0,2.888888888888889,1.7777777777777777,1.7777777777777777,2,3,4,0,0,0,1,3,5,4,5,0
84,"Evitar la visión de túnel, mantener la mente abierta y si un problema no sale, pasarse a otro o intentar otras aproximaciones a la solución.",Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,3.2222222222222223,2.3333333333333335,1.5555555555555556,4,2,3,0,0,0,4,1,4,8,1,0
85,Optar por que una sola persona escriba el código de la solución.,Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,1.4444444444444444,1.5555555555555556,1.5,0,2,2,2,3,0,1,5,3,5,2,2
86,"Al resolver un problema en grupo, optar por que la persona que estime menor tiempo para programar la solución lo haga, considerando su experiencia y conocimiento en el tema.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.0,1.4444444444444444,1.6666666666666667,2,2,5,0,0,0,0,5,4,6,3,0
87,"Si varios miembros pueden implementar la solución al mismo problema en un tiempo similar, elegir quién escribirá el código según sus habilidades y su capacidad para abordar los problemas restantes, priorizando el balance de la carga de trabajo.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.5555555555555554,2.0,1.7222222222222223,2,3,3,1,0,0,3,3,3,5,4,0
88,"Cuando dos integrantes tengan cada uno un problema distinto listo para programar, priorizar el que se estime que tomará menos tiempo implementar su código.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.4444444444444446,1.5555555555555556,1.5555555555555556,5,1,3,0,0,0,2,6,1,8,1,0
89,"Antes de comenzar a escribir código, escribir en papel la composición del código a ser escrito a grandes rasgos, el ideal es escribir código sin dudar y reducir el tiempo de depuración al mínimo.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.6666666666666665,2.3333333333333335,1.6111111111111112,1,2,5,0,1,0,4,1,4,3,4,2
90,"Si la computadora está ocupada y se tiene pensado el diseño del algoritmo para un problema, escribir en papel el código de la solución.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.7777777777777777,2.111111111111111,1.6666666666666667,2,4,3,0,0,0,2,1,6,6,3,0
91,"En una competencia oficial, si se necesita un algoritmo que está escrito en el team notebook, copiarlo del notebook.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.111111111111111,1.3333333333333333,1.5,3,2,4,0,0,0,0,6,3,7,1,1
92,"Cada que se escriba un bloque de código, por ejemplo, lectura de datos o la construcción de una estructura, compilar el código y corregir los errores de sintaxis.",Ambos,Nada importante,Moderadamente deducible,,0.0,2.0,1.5,1.6666666666666667,1.8888888888888888,1.3888888888888888,0,3,2,1,3,0,0,1,8,5,1,3
93,"Cada que se escriba un bloque de código, leerlo y revisar si existe algún error lógico o de escritura.",Ambos,Poco importante,Moderadamente deducible,,1.0,2.0,1.5,1.8888888888888888,1.7777777777777777,1.3888888888888888,0,4,2,0,3,0,0,2,7,7,0,2
94,Durante la escritura de código escribir comentarios resaltando la lógica de cada bloque de código.,Ambos,Poco importante,Moderadamente deducible,,1.0,2.0,1.5,1.5555555555555556,1.7777777777777777,1.2777777777777777,0,4,1,1,3,0,1,3,5,3,1,5
95,Usar memoria extra si es que ayuda a simplificar la solución o acelerar el algoritmo.,Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.5555555555555554,2.2222222222222223,1.7222222222222223,0,2,6,0,1,0,3,1,5,5,4,0
96,"Utilizar fuerza bruta en cuanto se pueda, los algoritmos de fuerza bruta suelen ser más fáciles de implementar.",Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,3.3333333333333335,1.8888888888888888,1.5555555555555556,3,0,6,0,0,0,3,4,2,8,1,0
97,No escribir código lo más rápido ni lo más corto posible; priorizar la claridad y simplicidad.,Avanzados,Extremadamente importante,Fácil de deducir,,4.0,1.0,2.0,2.2222222222222223,1.6666666666666667,1.5,1,3,3,1,1,0,0,3,6,5,2,2
98,"Solo usar la computadora para escribir, evitar pensar mientras se ocupa la computadora.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.111111111111111,2.0,1.6666666666666667,3,2,4,0,0,0,2,2,5,6,3,0
99,Armar casos de prueba a mano para probar el código antes de enviarlo; un compañero que no esté codificando podría asistir en esta tarea.,Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.888888888888889,2.0,1.6111111111111112,3,2,3,0,1,0,3,3,3,7,2,0
100,"Antes de enviar el código, realizar una revisión rápida a la lógica de la solución y a la estructura del código.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.5555555555555554,1.7777777777777777,1.5555555555555556,1,3,4,0,1,0,1,3,5,8,1,0
101,"En una competencia oficial, mandar a imprimir el código inmediatamente después de enviar una solución al juez, para poder revisarlo sin ocupar la computadora en caso de ser rechazado.",Avanzados,Muy importante,Moderadamente deducible,,3.0,2.0,2.0,2.2222222222222223,2.111111111111111,1.6111111111111112,0,1,5,0,3,0,2,1,6,7,2,0
