#,Práctica,Aplicable a,Importancia,Dificultad de Deducción,Comentarios
28,"Dividir los temas básicos entre los miembros del equipo, comprometiéndose a aprenderlos individualmente para conseguir un mayor alcance colectivo.",Avanzados,Importante,Moderadamente deducible,
29,Asegurar que con el tiempo cada miembro del equipo domine todos los temas básicos y luego continúe especializándose en temas más avanzados.,Ambos,Importante,Moderadamente deducible,
30,"En el equipo contar con al menos 2 expertos en cada área, para evitar una sobrecarga de trabajo y tener el respaldo necesario en momentos críticos.",Avanzados,Importante,Difícil de deducir,
Sección D,Antes de la Competencia: Prácticas enfocadas en la preparación estratégica y organizativa antes de un evento competitivo.,,,,
31,"Mantener un listado con conceptos, fórmulas, constantes y teoremas para consultas rápidas.",Ambos,Muy importante,Moderadamente deducible,
32,"Mantener un listado con hechos relevantes, recordatorios, errores comunes a evitar, buenas prácticas y estrategias.",Ambos,Poco importante,Fácil de deducir,
33,Mantener el team notebook con implementaciones cortas y rápidas de algoritmos clásicos o códigos difíciles de memorizar.,Avanzados,Importante,Moderadamente deducible,
34,"En el team notebook, es aceptable incluir algoritmos a modo de caja negra, conociendo solo su propósito y su complejidad espacio-temporal.",Iniciales,Poco importante,Fácil de deducir,
35,Priorizar la calidad antes que la cantidad al agregar contenido al team notebook.,Ambos,Importante,Fácil de deducir,
36,Llevar un diccionario de bolsillo Inglés-Español a las competencias,Iniciales,Muy importante,Fácil de deducir,
37,"Establecer de antemano un orden fijo y la porción de problemas que cada integrante del equipo leerá, mantener ese plan en todas las ocasiones.",Ambos,Muy importante,Fácil de deducir,
38,"Designar como líder de equipo a la persona con mayor experiencia y criterio, quien tomará las decisiones finales con el respaldo del equipo.",Ambos,Poco importante,Fácil de deducir,
Sección E,Durante la Competencia (Simulación): Prácticas aplicables durante simulaciones para replicar las condiciones de una competencia real.,,,,
39,Simular competencias oficiales en equipo procurando replicar las condiciones de competencias oficiales.,Ambos,Extremadamente importante,Moderadamente deducible,
40,"Tener entrenamientos largos (5 horas), para incrementar la resistencia.",Ambos,Extremadamente importante,Moderadamente deducible,
41,"Evitar entrenamientos cortos (menores 5 horas), pero realizarlos si es que la alternativa sería no entrenar.",Iniciales,Nada importante,Fácil de deducir,
42,"Probar diferentes estrategias, afinarlas y ajustarlas según cómo responda el equipo.",Avanzados,Extremadamente importante,Moderadamente deducible,
43,Hacer la prueba con programación en pares.,Ambos,Muy importante,Difícil de deducir,
44,"Realizar prácticas de lectura de problemas en equipo al simular competencias: al inicio leer todos los problemas sin resolver ninguno, discutir las dificultades de cada uno, comparar las predicciones con el scoreboard y luego continuar con la simulación.",Iniciales,Nada importante,Fácil de deducir,
45,"En simulaciones, registrar el estado de la competencia cada 30 minutos (para competencias de 5 horas) para tener conciencia del comportamiento del equipo. Este registro debe incluir la cantidad de problemas leídos, resueltos e intentados, junto con un resumen de lo sucedido en los últimos 30 minutos.",Ambos,Poco importante,Moderadamente deducible,
46,"Durante simulaciones de competencias, copiar los algoritmos del team notebook a mano, tal como se hace en competencias oficiales.",Ambos,Muy importante,Fácil de deducir,
Sección F,Durante la Competencia (Competencia Real): Prácticas aplicadas durante el desarrollo de una competencia oficial.,,,,
47,Al inicio de la competencia identificar el problema fácil e iniciar su resolución lo más antes posible.,Ambos,Extremadamente importante,Fácil de deducir,
48,"Durante competencias y simulaciones mantener una hoja con una tabla donde cada problema tenga su sección, anotando el tema, la dificultad o un resumen breve; tachar los problemas resueltos.",Ambos,Poco importante,Fácil de deducir,
49,"Durante la primera hora de competencia leer todos los problemas e identificar los fáciles, medios y difíciles.",Ambos,Importante,Difícil de deducir,
50,"Al decidir qué problema resolver a continuación, consultar el scoreboard para guiarse por los problemas mas resueltos, ya que suelen ser los más accesibles.",Ambos,Extremadamente importante,Fácil de deducir,
51,Priorizar el trabajo individual mientras se resuelven problemas fáciles.,Ambos,Importante,Fácil de deducir,
52,Cada miembro del equipo debe estar consciente del estado de la competencia en todo momento.,Ambos,Nada importante,Moderadamente deducible,
53,En las primeras horas de competencia procurar resolver los problemas fáciles y trabajar en los problemas medios.,Ambos,Muy importante,Fácil de deducir,
54,"Una vez resueltos los problemas fáciles, asegurarse de tener claro de qué tratan los problemas disponibles antes de decidir qué problema resolver a continuación.",Ambos,Extremadamente importante,Moderadamente deducible,
55,Entre la segunda y cuarta hora de competencia identificar qué problemas difíciles se intentarán resolver.,Avanzados,Muy importante,Moderadamente deducible,
56,"Abordar los problemas difíciles desde más temprano si se estima que de esta forma se resolverá una mayor cantidad de problemas, estando conscientes de que eso conlleva el riesgo de una mayor penalidad por tiempo.",Avanzados,Nada importante,Moderadamente deducible,
57,"Si se decide trabajar en un problema difícil, empezar lo más antes posible.",Avanzados,Importante,Fácil de deducir,
58,Procurar resolver los problemas difíciles en equipo.,Avanzados,Importante,Moderadamente deducible,
59,"En la última hora y media de competencia, incrementar la prioridad al uso de la computadora para la depuración de errores.",Ambos,Importante,Fácil de deducir,
60,"Al iniciar la última hora de competencia, analizar la situación del equipo en la competencia y decidir en qué problemas se trabajará.",Ambos,Extremadamente importante,Moderadamente deducible,
61,"En la última media hora de competencia, concentrarse únicamente en un problema los tres integrantes del equipo al mismo tiempo.",Ambos,Extremadamente importante,Fácil de deducir,
62,"Durante la competencia, actuar objetivamente, enfocándose en resolver la mayor cantidad de problemas con la menor penalización posible.",Ambos,Muy importante,Fácil de deducir,
63,"Durante la competencia, procurar actuar de tal forma que se minimicen los errores.",Ambos,Muy importante,Fácil de deducir,
64,Evitar peleas y tonos defensivos entre compañeros de equipo.,Ambos,Extremadamente importante,Fácil de deducir,
65,No perder los estribos durante la competencia y siempre tratar de dar lo mejor de uno mismo.,Ambos,Extremadamente importante,Moderadamente deducible,
66,"Ya que no se tiene información perfecta, tomar riesgos.",Avanzados,Poco importante,Moderadamente deducible,
67,"Al inicio de la competencia, echar un vistazo a los enunciados de los problemas para elegir cual leer primero basándose en intuición y simplicidad del enunciado.",Ambos,Extremadamente importante,Fácil de deducir,
68,"Al inicio de la competencia, hacer lecturas rápidas de los problemas con el objetivo inicial de identificar los más fáciles.",Ambos,Extremadamente importante,Fácil de deducir,
69,"Al leer un problema, identificar si los primeros párrafos son una historia no relacionada a lo que te pide el problema para saltarse esa parte.",Ambos,Muy importante,Difícil de deducir,
70,"Al leer un problema, prestar atención a cada vez que aparece algún número o variable.",Ambos,Poco importante,Fácil de deducir,
71,"Al leer un problema, prestar atención a definiciones o descripciones de procedimientos, estos suelen estar listados.",Ambos,Extremadamente importante,Moderadamente deducible,
72,"Al leer un problema, prestar atención a las últimas oraciones del enunciado, ahí suelen resumir en pocas palabras qué es lo que pide el problema.",Ambos,Importante,Moderadamente deducible,
73,"Al leer un problema, prestar atención a los límites establecidos en la descripción del input, esto suele dar pistas acerca de qué técnicas o algoritmos se pueden aplicar para la resolución del problema.",Avanzados,Muy importante,Moderadamente deducible,
74,"Al leer un problema, prestar atención a la descripción del output, esto suele describir en pocas palabras lo que pide el problema.",Iniciales,Muy importante,Difícil de deducir,
75,"Al leer un problema, tener en cuenta que si algo no está escrito en el enunciado, no significa que sea falso, y si algo no está escrito en el enunciado, no significa que sea verdadero.",Avanzados,Poco importante,Fácil de deducir,
76,Leer detalladamente un problema si no se cuenta con la suficiente confianza o experiencia para determinar que se lo ha entendido en la primera leída.,Ambos,Nada importante,Fácil de deducir,
77,"Al leer detalladamente un problema, formular preguntas después de leer cada oración, por ejemplo: ¿Esto qué significa realmente? ¿Esto puede dar origen a algún caso especial? ¿Será que este detalle sea crucial para hallar la solución al problema? ¿Es esta información útil?",Ambos,Muy importante,Moderadamente deducible,
78,"Leer detalladamente un problema si es que no surgen ideas para abordar la solución, con el proposito de encontrar nuevos detalles",Ambos,Importante,Difícil de deducir,
79,Leer detalladamente un problema si es que no se ha conseguido un veredicto aceptado al enviarlo.,Ambos,Muy importante,Difícil de deducir,
80,Hacer una lluvia de ideas de algoritmos posibles que puedan resolver el problema y elegir el más fácil de modelar y codificar que funcione.,Avanzados,Importante,Fácil de deducir,
81,"Utilizar modelado matemático, transformación del problema o proposición de conjeturas con el fin de simplificar la solución del problema o el diseño del algoritmo. ",Ambos,Importante,Moderadamente deducible,
82,"Cuando el problema requiera de cálculos matemáticos, anotar con claridad en papel las fórmulas simplificadas, listas para copiarlas directamente en el código.",Ambos,Muy importante,Fácil de deducir,
83,"Para abordar un problema desafiante, proceder con calma, seleccionar los detalles relevantes y usarlos para deducir nuevos aspectos, formando así una cadena de implicaciones que lleve a la solución.",Avanzados,Muy importante,Moderadamente deducible,
84,"Evitar la visión de túnel, mantener la mente abierta y si un problema no sale, pasarse a otro o intentar otras aproximaciones a la solución.",Ambos,Extremadamente importante,Difícil de deducir,
85,Optar por que una sola persona escriba el código de la solución.,Iniciales,Poco importante,Fácil de deducir,
86,"Al resolver un problema en grupo, optar por que la persona que estime menor tiempo para programar la solución lo haga, considerando su experiencia y conocimiento en el tema.",Ambos,Importante,Moderadamente deducible,
87,"Si varios miembros pueden implementar la solución al mismo problema en un tiempo similar, elegir quién escribirá el código según sus habilidades y su capacidad para abordar los problemas restantes, priorizando el balance de la carga de trabajo.",Ambos,Nada importante,Fácil de deducir,
88,"Cuando dos integrantes tengan cada uno un problema distinto listo para programar, priorizar el que se estime que tomará menos tiempo implementar su código.",Avanzados,Muy importante,Moderadamente deducible,
89,"Antes de comenzar a escribir código, escribir en papel la composición del código a ser escrito a grandes rasgos, el ideal es escribir código sin dudar y reducir el tiempo de depuración al mínimo.",Avanzados,Muy importante,Difícil de deducir,
90,"Si la computadora está ocupada y se tiene pensado el diseño del algoritmo para un problema, escribir en papel el código de la solución.",Avanzados,Importante,Moderadamente deducible,
91,"En una competencia oficial, si se necesita un algoritmo que está escrito en el team notebook, copiarlo del notebook.",Avanzados,Muy importante,Fácil de deducir,
92,"Cada que se escriba un bloque de código, por ejemplo, lectura de datos o la construcción de una estructura, compilar el código y corregir los errores de sintaxis.",Ambos,Poco importante,Moderadamente deducible,
93,"Cada que se escriba un bloque de código, leerlo y revisar si existe algún error lógico o de escritura.",Ambos,Poco importante,Moderadamente deducible,
94,Durante la escritura de código escribir comentarios resaltando la lógica de cada bloque de código.,Avanzados,Importante,Moderadamente deducible,
95,Usar memoria extra si es que ayuda a simplificar la solución o acelerar el algoritmo.,Ambos,Importante,Moderadamente deducible,
96,"Utilizar fuerza bruta en cuanto se pueda, los algoritmos de fuerza bruta suelen ser más fáciles de implementar.",Ambos,Muy importante,Difícil de deducir,
97,No escribir código lo más rápido ni lo más corto posible; priorizar la claridad y simplicidad.,Ambos,Nada importante,Fácil de deducir,
98,"Solo usar la computadora para escribir, evitar pensar mientras se ocupa la computadora.",Ambos,Importante,Moderadamente deducible,
99,Armar casos de prueba a mano para probar el código antes de enviarlo; un compañero que no esté codificando podría asistir en esta tarea.,Avanzados,Muy importante,Moderadamente deducible,
100,"Antes de enviar el código, realizar una revisión rápida a la lógica de la solución y a la estructura del código.",Ambos,Importante,Moderadamente deducible,
101,"En una competencia oficial, mandar a imprimir el código inmediatamente después de enviar una solución al juez, para poder revisarlo sin ocupar la computadora en caso de ser rechazado.",Ambos,Poco importante,Fácil de deducir,
102,"Durante la competencia, guardar todas las versiones del código que se escriban.",Iniciales,Poco importante,Fácil de deducir,
103,"Si un envío es rechazado por el juez, no entrar en pánico, enfocarse en encontrar el error.",Ambos,Extremadamente importante,Difícil de deducir,
104,Evitar buscar errores en el código leyendo detalladamente línea por línea mientras se ocupa la computadora.,Ambos,Nada importante,Difícil de deducir,
105,"Para detectar errores en el código durante la depuración, escribir rutinas de impresión del estado de las variables en varios bloques de código, hacer correr contra varios casos de prueba, imprimir físicamente los resultados y analizarlos dejando la computadora libre.",Ambos,Extremadamente importante,Fácil de deducir,
106,"No borrar las rutinas de impresión que se escribieron para depuración de código, mejor es comentarlas.",Ambos,Extremadamente importante,Fácil de deducir,
107,"Para validar o encontrar errores en el código, hacer pruebas de estrés, generar casos de prueba aleatorios y probar el código contra una solución menos eficiente, de la cual se tenga certeza de su correctitud.",Iniciales,Poco importante,Fácil de deducir,
108,"Después de 5 envíos incorrectos, pasarse a otro problema.",Ambos,Muy importante,Moderadamente deducible,
Sección G,Después de la Competencia: Prácticas orientadas al análisis y mejora continua tras la participación en competencias.,,,,
109,No decepcionarse por tener un desempeño no deseado en alguna competencia.,Ambos,Muy importante,Difícil de deducir,
110,"Después de una simulación o competencia oficial, discutir con el equipo qué se hizo bien, qué se hizo mal y qué se puede mejorar, también evaluar el desempeño de las estrategias aplicadas.",Ambos,Poco importante,Moderadamente deducible,
111,"Después de simular o participar en una competencia resolver un problema que se podía haber resuelto en la competencia, pero por motivos de tiempo o toma de decisiones no se logró.",Ambos,Importante,Fácil de deducir,
112,"Después de simular o participar en una competencia resolver un problema que tomaría una cantidad exagerada de tiempo en resolver, o que no se cuente con la suficiente capacidad o el conocimiento para resolverlo. Hacerlo con ayuda de la editorial y con la lectura de códigos aceptados de ese problema o con la ayuda de otra persona que sí lo resolvió.",Ambos,Muy importante,Moderadamente deducible,
